feature,mean,scale
Temp_Avg,22.801265299011277,6.065552178989703
Hum_Avg,75.55757001611568,22.24905289439106
Temp_lag1,22.80142863365129,6.065382492437727
Temp_lag2,22.8015810793153,6.065228299133282
Temp_lag3,22.80173352497931,6.065074098077036
Temp_lag4,22.80188597064332,6.0649198892683955
Temp_lag5,22.80203841630733,6.064765672706771
Temp_lag6,22.802190861971344,6.064611448391569
Temp_lag7,22.80235419661135,6.06445068830578
Temp_lag8,22.80251753125136,6.064289919559124
Temp_lag9,22.80268086589137,6.064129142150912
Temp_lag10,22.802855089507382,6.063952848197842
Hum_lag1,75.5580273531077,22.249301794976194
Hum_lag2,75.55849557907575,22.24955310176141
Hum_lag3,75.55896380504377,22.249804395854806
Hum_lag4,75.55943203101181,22.2500556772568
Hum_lag5,75.55991114595584,22.250309200449404
Hum_lag6,75.56041203885185,22.2505817371227
Hum_lag7,75.56090204277189,22.25085200524608
Hum_lag8,75.56139204669192,22.25112225929607
Hum_lag9,75.56188205061196,22.251392499273184
Hum_lag10,75.56237205453198,22.251662725177933
Hour_sin,-0.0013883282349740967,0.7071747120257612
Hour_cos,-0.0006741275142767521,0.707037159396936
